fips	hesitant	maskuse	stateicp	countyname	rep_house2012	rep_pres2012	happening2014	consensus2014	worried2014	happening2020	consensus2020	worried2020	socialdist_avg	sk2014	flu_vaccinated	toxpiscore	healthenvironmenthealthdispariti	conservative	republican	vaccinated_18pluspop_ratio	rep_pres2016	gisjoin	statefips	countyfips	countyname_long	rep_house2016	temp	rain	lat	lon	male_share	elder_share	native_share	income	white_share	col_share	popden	mfg_share_diff	diff_trump_house	diff_house_trump
1001.0	0.1685	0.873	41	"AUTAUGA"	0.735006	0.7261825	55	31	45	58.925	40.836	49.543	4.6625	-0.6310033	43.6	0.57304084	0.26055467	0.2923077	0.2881356	0.376	0.7276659	"G0100010"	1	1	"AUTAUGA COUNTY"	0.5935647	17.8625	1411.15	32.5349	-86.6427	0.48559925	0.14681877	0.9859983	10.112288742134462	0.78008926	0.29771203	3.581231E-5	-0.032491863	0.13410121	-0.13410121
1003.0	0.1544	0.857	41	"BALDWIN"	0.9846945	0.7735827	57	32	47	60.59	40.801	51.564	4.7	-0.555396	44.0	0.578182	0.20390563	0.5157233	0.4676259	0.45700002	0.7654571	"G0100030"	1	3	"BALDWIN COUNTY"	0.974793	19.102806	1627.0176	30.7276	-87.7226	0.48758662	0.20024058	0.96437854	10.198058343191331	0.86646795	0.3736409	4.6436915E-5	-0.03400071	-0.20933592	0.20933592
1005.0	0.1676	0.812	41	"BARBOUR"	0.4830334	0.4822313	57	31	46	66.975	43.893	58.408	4.0	-0.8910361	34.3	0.6763697	0.6562293	0.56666666	0.3448276	0.38	0.52096665	"G0100050"	1	5	"BARBOUR COUNTY"	0.42663747	18.077272	1363.0	31.8696	-85.3932	0.5369667	0.17139275	0.9716435	9.761347785375005	0.47221506	0.2067318	1.1832959E-5	-0.10047202	0.09432918	-0.09432918
1007.0	0.1808	0.94600004	41	"BIBB"	0.69910544	0.72826606	52	28	41	57.679	37.581	48.393	4.15	-0.9065815	40.3	0.62075603	0.5319894	0.5555556	0.7096774	0.318	0.7640322	"G0100070"	1	7	"BIBB COUNTY"	0.7705638	17.325	1423.5	32.9986	-87.1265	0.5394429	0.16170044	0.98680085	9.804219550877459	0.7671831	0.16380794	1.4048539E-5	-0.05115825	-0.006531596	0.006531596
1009.0	0.1854	0.833	41	"BLOUNT"	0.8067436	0.86465883	57	35	49	52.372	35.34	44.333	4.5	-1.0132797	40.9	0.5724231	0.4462277	0.47457626	0.4509804	0.282	0.89334846	"G0100090"	1	9	"BLOUNT COUNTY"	0.90174973	15.476363	1451.1364	33.9809	-86.5674	0.49568912	0.18018909	0.9586781	9.928228944424575	0.9528493	0.21271637	3.451875E-5	-0.021642387	-0.008401275	0.008401275
1011.0	0.1676	0.93	41	"BULLOCK"	0.24565217	0.235062	56	29	44	72.33	49.569	64.634	2.95	-0.5024002	35.0	0.589892	0.65693575	0.1	0.0	0.465	0.24203822	"G0100110"	1	11	"BULLOCK COUNTY"	0.19817209	17.789545	1380.8636	32.1005	-85.7157	0.5423174	0.1623492	0.9529599	9.781658844170995	0.2621341	0.1793217	6.6290286E-6	-0.031159624	0.043866128	-0.043866128
1013.0	0.1758	0.845	41	"BUTLER"	0.5347215	0.53569925	53	27	42	65.254	42.768	55.568	4.125	-0.33917314	35.5	0.62767875	0.55044013	0.32	0.36842105	0.36900002	0.5612689	"G0100130"	1	13	"BUTLER COUNTY"	0.4705176	18.002424	1460.3636	31.7524	-86.6803	0.46728063	0.19392876	0.99215513	9.804495603329178	0.54592407	0.220782	1.0200415E-5	-0.025142118	0.09075132	-0.09075132
1015.0	0.1795	0.73899996	41	"CALHOUN"	0.6720197	0.6545604	54	31	45	61.336	42.315	52.577	4.8375	-0.3518921	40.5	0.6371628	0.5271008	0.39903846	0.4108108	0.425	0.68663293	"G0100150"	1	15	"CALHOUN COUNTY"	0.70211643	15.96409	1424.0454	33.7714	-85.826	0.48195177	0.16978137	0.9763368	9.966744002171144	0.75200963	0.24274473	7.4679294E-5	-0.044088453	-0.015483499	0.015483499
1017.0	0.1806	0.846	41	"CHAMBERS"	0.5328385	0.5219355	55	29	43	64.602	42.589	54.801	4.6625	-0.36673096	37.6	0.63955957	0.48267713	0.58	0.40425533	0.295	0.5642446	"G0100170"	1	17	"CHAMBERS COUNTY"	0.57635397	16.722631	1400.0526	32.9143	-85.392	0.4772814	0.19518349	0.9898507	9.963641475355875	0.57994777	0.19445027	2.206524E-5	-0.13934068	-0.012109339	0.012109339
1019.0	0.1783	0.839	41	"CHEROKEE"	0.771627	0.76756316	52	29	42	56.216	37.246	46.982	4.487500000000001	-1.0521433	40.5	0.5824903	0.46085426	0.5897436	0.6111111	0.296	0.83415633	"G0100190"	1	19	"CHEROKEE COUNTY"	0.83552444	15.272857	1417.3334	34.1759	-85.6038	0.49765763	0.21269488	0.98844177	10.00937792779356	0.9295369	0.20397745	1.815943E-5	-0.15154895	-0.0013681054	0.0013681054
1021.0	0.1806	0.87	41	"CHILTON"	0.7467613	0.79784673	53	30	44	56.115	39.074	47.737	4.45	-0.59920585	39.9	0.6056377	0.5593407	0.525	0.55263156	0.32900003	0.8210028	"G0100210"	1	21	"CHILTON COUNTY"	0.8303536	17.229643	1427.0358	32.8479	-86.7188	0.492748	0.15974966	0.9463466	9.985896688776846	0.8455266	0.20515089	2.4397548E-5	-0.03542784	-0.009350836	0.009350836
1023.0	0.1735	0.913				0.5210843	58	32	48	65.971	44.634	57.189	3.5875	0.76313955	41.8	0.5252404	0.6035755	0.42857143	0.2857143	0.574	0.5630828	"G0100230"	1	23			18.090555	1501.5834	32.0198	-88.2632	0.47755796	0.21954821	0.99778533	9.964958874624228	0.5579507	0.20420326	5.725384E-6	-0.06374611		
